Title,Available Globally?,Release Date,Hours Viewed,Number of Ratings,Rating,Genre,Key Words,Description
You: Season 2,Yes,2019-12-26,95000000,,,['Short'],,A behind-the-scenes special feature looking at the city of New Orleans as a character in itself on the show.
La Reina del Sur: Season 1,No,2011-09-05,94700000,3323.0,7.9,"['Action', 'Crime', 'Drama']","telenovela,drug trafficking,cartel,femme fatale,kidnapping",Teresa Mendoza returns to Mexico after 8 years to fight with Mexican drug dealers.
All of Us Are Dead: Season 1 // 지금 우리 학교는: 시즌 1,Yes,2022-01-28,94600000,14591.0,9.2,"['Drama', 'Horror', 'Sci-Fi']","interactive drama,playstation 3,xbox 360,microsoft windows,single player","In a world devastated by the undead, a convicted criminal is given a second chance at life when he comes across a little girl named Clementine."
New Amsterdam (2018): Season 2,No,,94400000,,,"['Documentary', 'Sport']","year in title,sports fan,coach,new york yankees,world series",The New York Yankees rose to the top in 2009 with a mix of loyal veterans and newcomers and won the World Series. This DVD takes you step by step through the season from spring training until the final out.
Black Knight: Season 1 // 택배기사: 시즌 1,Yes,2023-05-12,94300000,1544.0,6.1,"['Animation', 'Short', 'Adventure']","controversy,girl,laundry drying on a clothesline,african american,clothesline",
Breaking Bad: Season 4,No,,94300000,681.0,8.3,['Documentary'],"behind the scenes,making of,reference to breaking bad","An extensive, detailed account on the incredible legacy Breaking Bad created before it had even ended, whilst documenting in intimate detail the filming of its final season."
Obsession: Limited Series,Yes,2023-04-13,94200000,,,,,
Who Were We Running From?: Limited Series // Biz Kimden Kaçıyorduk Anne?: Mini Dizi,Yes,2023-03-24,92900000,3873.0,5.8,"['Crime', 'Drama', 'Mystery']","psychological drama,overprotective mother,cult,hotel,peer pressure","Hiding a mysterious past, a mother lives like a nameless fugitive with her daughter as they make hotels their home and see everyone else as a threat."
La Reina del Sur: Season 2,No,2019-08-16,92500000,7627.0,5.2,"['Comedy', 'Drama', 'Music']","dancer,dance,female protagonist,numbered sequel,sequel","Recently released from juvenile detention, talented dancer Maria Ramirez finds an outlet for her passion with a new dance crew."
Hunger // คนหิว เกมกระหาย,Yes,2023-04-08,92300000,,,,,
Alice in Borderland: Season 1 // 今際の国のアリス: シーズン1,Yes,2020-12-10,92200000,,,"['Short', 'Action', 'Drama']",,"A deleted scene cut from &apos;Angel: Season 3, Episode 13 - Waiting in the Wings&apos;."
CoComelon: Season 3,No,2021-05-31,91400000,,,,,
Firefly Lane: Season 1,Yes,2021-02-03,91200000,,,,,
Women at War: Limited Series // Les Combattantes: Mini-série,Yes,2022-10-27,90800000,68.0,6.6,"['Short', 'Drama', 'War']","wacs,war widow,war game,male female relationship,father daughter relationship","Three young women join the newly formed Women&apos;s Army Corps (WACS) for varied reasons, and make contributions to the war effort."
Formula 1: Drive to Survive: Season 5,Yes,2023-02-24,90200000,48370.0,8.5,"['Documentary', 'Sport']","f1,formula 1,motor sports,car race,championship",Docuseries following the FIA Formula One World Championship across multiple seasons.
Sweet Tooth: Season 1,Yes,2021-06-04,89000000,27.0,8.8,"['Family', 'History', 'Sport']","year in title,2000s,number in title",A look at the 2001 Seattle Mariners who tied Major League Baseballs modern day record for most wins in a season with 116.
S.W.A.T. (2017): Season 1,No,,88600000,,,['Documentary'],"year in title,2010s,2000s,2020s,number in title",
Murder Mystery,Yes,2019-06-14,87900000,163191.0,6.0,"['Action', 'Comedy', 'Crime']","murder,boat,detective,hairdresser,gun",
True Beauty // 여신강림,No,,87300000,,,"['Short', 'Drama']",vision,"Sheila, a skilled painter, loses her vision and has to re-find her connection to her artwork."
Squid Game: Season 1 // 오징어 게임: 시즌 1,Yes,2021-09-17,87200000,251.0,1.6,"['Short', 'Comedy']",,
Little Angel: Volume 2,Yes,,86200000,,,"['Animation', 'Short']","religion,children",This inspirational and educational program for preschoolers offers animated adaptations of biblical stories.
Manifest: Season 2,No,2021-06-10,86200000,,,,,
Extraction,Yes,2020-04-24,86100000,255235.0,6.8,"['Action', 'Thriller']","drug dealers,kidnapping,child kidnapping,shot in the head,bangladesh","Tyler Rake, a fearless black market mercenary, embarks on the most deadly extraction of his career when he&apos;s enlisted to rescue the kidnapped son of an imprisoned international crime lord."
Lucifer: Season 2,No,2017-08-31,86100000,,,['Comedy'],devil,The Devil&apos;s son decides to make Hell more up-to-date and with it.
Lady Voyeur: Limited Series // Olhar Indiscreto: Minissérie,Yes,2022-12-31,86000000,,,,,
Woman of the Dead: Season 1 // Totenfrau: Season 1,Yes,2022-11-15,85400000,28647.0,7.6,"['Comedy', 'Drama', 'Horror']","single take,zombie,film crew,television broadcast,rooftop","Things go badly for a hack director and film crew shooting a low budget zombie movie in an abandoned WWII Japanese facility, when they are attacked by real zombies."
The Law According to Lidia Poët: Season 1 // La legge di Lidia Poët: Stagione 1,Yes,2023-02-15,85000000,7057.0,7.4,"['Biography', 'Crime', 'Drama']","lawyer,19th century,legal,legal drama,legal battle",
Florida Man: Limited Series,Yes,2023-04-13,84600000,,,,,
Lucifer: Season 1,No,2017-07-23,84400000,,,['Comedy'],devil,The Devil&apos;s son decides to make Hell more up-to-date and with it.
Shahmaran: Season 1 // Şahmaran: Season 1,Yes,2023-01-20,83600000,,,,,
Breaking Bad: Season 1,No,,83200000,,,"['Comedy', 'Talk-Show']",,"In the very first episode of MovieDude98 Reviews&apos; history, Sean sums up what he has to say on Season 1 of hit show Breaking Bad."
The Last Kingdom: Seven Kings Must Die,Yes,2023-04-14,83200000,33179.0,6.9,"['Action', 'Drama', 'History']","anglo saxon,kingdom,exploration,warrior,epic","In the wake of King Edward&apos;s death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last."
Selling Sunset: Season 6,Yes,2023-05-19,82800000,,,,,
CoComelon: Season 4,No,2021-10-14,82500000,,,,,
Suits (2011): Season 3,Yes,,82500000,,,['Documentary'],glasgow rangers,Highlights of Glasgow Rangers 2010/11 Season.
Sam & Cat: Season 1,No,,82400000,5484.0,8.2,"['Biography', 'Drama', 'War']","life,army",Revolves around the high and low points of Sam Manekshaw who became the first Indian Army officer to be promoted to the rank of Field Marshal.
Gilmore Girls: Season 1,Yes,,82100000,130.0,6.6,"['Musical', 'Short']","underwater scene,waterfall,precision,swimming,march",This Warner Bros. short film shows the process that studios use to select women for the chorus line in movie musicals. It then presents a few clips of chorus lines in Busby Berkeley production numbers from 1930s Warner Bros. music...
Sonic Prime: Season 1,Yes,2022-12-15,82100000,2247.0,7.3,"['Animation', 'Action', 'Adventure']","fast,based on video game,sonic the hedgehog,anthropomorphic animal,sonic the hedgehog character",Sonic in a high-octane adventure where the fate of a strange new multiverse rests in his gloved hands.
Peppa Pig: Season 1,No,,81800000,982.0,7.7,"['Animation', 'Short', 'Adventure']","hotel,tying bedsheets,reference to dick tracy,star cameo,horseshoe in a glove",
Manifest: Season 3,No,2021-08-21,81700000,,,,,
Roald Dahl's Matilda The Musical,Yes,2022-12-25,81000000,26853.0,7.0,"['Comedy', 'Drama', 'Family']","library,hero,genius,school,singing","An adaptation of the Tony and Olivier award-winning musical. Matilda tells the story of an extraordinary girl who, armed with a sharp mind and a vivid imagination, dares to take a stand to change her story with miraculous results."
Better Call Saul: Season 6,No,2022-04-19,80800000,620143.0,9.0,"['Crime', 'Drama']","lawyer,spin off,psychosomatic illness,criminal lawyer,drug trade",The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.
Sing (2016),No,,80500000,186094.0,7.1,"['Animation', 'Comedy', 'Family']","singing,jukebox musical,furry,singing contest,anthropomorphic animal",
Hajime no Ippo: The Fighting!: Season 1 // はじめの一歩: シーズン1,No,,80300000,9.0,7.6,"['Action', 'Sport']",,
All Quiet on the Western Front // Im Westen nichts Neues,Yes,2022-10-28,80000000,66750.0,8.1,"['Drama', 'War']","1910s,anti war,shell shock,ptsd post traumatic stress disorder,depression","A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror."
Sky High: The Series: Season 1 // Hasta el cielo: La serie: Season 1,Yes,2023-03-17,79700000,,,['Sci-Fi'],"virtual reality,epic","In the distant future, humanity populates the far reaches of the universe. Now they are the target of an unknown enemy and only one group of mercenaries can save them - The PhoenIX."
Alpha Males: Season 1 // Machos alfa: Season 1,No,2022-12-30,78200000,,,"['Documentary', 'Short', 'Horror']","reference to walter hill,reference to joel silver,reference to richard donner,reference to robert zemeckis",This documentary is included on the Tales from the Crypt: The Complete First Season One DVD.
Record of Ragnarok: Season 2 // 終末のワルキューレ: シーズン２,No,2023-01-26,78200000,237.0,9.3,"['Documentary', 'Short']",,
Chupa,Yes,2023-04-07,77800000,6886.0,5.5,"['Action', 'Adventure', 'Drama']","young,teenager,young boy,teenage boy,mexico",
Stranger Things,Yes,2016-07-15,77800000,104.0,7.1,['Drama'],"title co written by female,title co directed by female,f rated","An unusual and touching bond develops when grieving Oona reaches out to a mysterious homeless man, offering him a place to stay in her garden shed."
Paw Patrol: The Movie,No,,77200000,3893.0,6.0,"['Animation', 'Action', 'Adventure']","dog,second part,based on tv series,based on cartoon,cgi animation","A magical meteor crash lands in Adventure City and gives the PAW Patrol pups superpowers, transforming them into The Mighty Pups"
Sing 2,No,,76600000,81973.0,7.4,"['Animation', 'Adventure', 'Comedy']","koala,porcupine,gorilla,pig,elephant",Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.
The Crown: Season 5,Yes,2022-11-09,76300000,,,,,
Next in Fashion: Season 2,Yes,2023-03-03,75700000,284.0,7.5,"['Documentary', 'Short']",,Journey to Northern Ireland for this look at the breathtaking locations used in the hit HBO series &apos;Game of Thrones.&apos;
Gilmore Girls: Season 2,Yes,,75200000,15.0,8.2,"['Short', 'Comedy']",,
Lucifer: Season 5,No,2020-08-21,75200000,,,,,
The Boss Baby,No,,75100000,137978.0,6.3,"['Animation', 'Adventure', 'Comedy']","baby,brother brother relationship,talking baby,close up of eye,puppy","A suit-wearing, briefcase-carrying baby pairs up with his 7-year old brother to stop the dastardly plot of the CEO of Puppy Co."
Treason: Limited Series,Yes,2022-12-26,74300000,,,,,
